2018-05-07 11:37:12,038 [main] INFO  utils.VerifiableProperties - Verifying properties
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:java.class.path=/usr/lib/jvm/jdk1.8.0_73/jre/lib/charsets.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/deploy.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/cldrdata.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/dnsns.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/jaccess.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/jfxrt.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/localedata.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/nashorn.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/sunec.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/sunjce_provider.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/sunpkcs11.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/ext/zipfs.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/javaws.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/jce.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/jfr.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/jfxswt.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/jsse.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/management-agent.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/plugin.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/resources.jar:/usr/lib/jvm/jdk1.8.0_73/jre/lib/rt.jar:/home/copper/Play/DatabaseSync/target/test-classes:/home/copper/Play/DatabaseSync/target/classes:/home/copper/.m2/repository/org/slf4j/slf4j-log4j12/1.7.7/slf4j-log4j12-1.7.7.jar:/home/copper/.m2/repository/org/slf4j/slf4j-api/1.7.7/slf4j-api-1.7.7.jar:/home/copper/.m2/repository/log4j/log4j/1.2.17/log4j-1.2.17.jar:/home/copper/.m2/repository/org/apache/kafka/kafka_2.10/0.8.2.1/kafka_2.10-0.8.2.1.jar:/home/copper/.m2/repository/com/yammer/metrics/metrics-core/2.2.0/metrics-core-2.2.0.jar:/home/copper/.m2/repository/org/scala-lang/scala-library/2.10.4/scala-library-2.10.4.jar:/home/copper/.m2/repository/org/apache/kafka/kafka-clients/0.8.2.1/kafka-clients-0.8.2.1.jar:/home/copper/.m2/repository/net/jpountz/lz4/lz4/1.2.0/lz4-1.2.0.jar:/home/copper/.m2/repository/org/xerial/snappy/snappy-java/1.1.1.6/snappy-java-1.1.1.6.jar:/home/copper/.m2/repository/org/apache/zookeeper/zookeeper/3.4.6/zookeeper-3.4.6.jar:/home/copper/.m2/repository/jline/jline/0.9.94/jline-0.9.94.jar:/home/copper/.m2/repository/junit/junit/3.8.1/junit-3.8.1.jar:/home/copper/.m2/repository/io/netty/netty/3.7.0.Final/netty-3.7.0.Final.jar:/home/copper/.m2/repository/net/sf/jopt-simple/jopt-simple/3.2/jopt-simple-3.2.jar:/home/copper/.m2/repository/com/101tec/zkclient/0.3/zkclient-0.3.jar:/home/copper/idea-IC-162.2228.15/lib/idea_rt.jar
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:java.library.path=/home/copper/idea-IC-162.2228.15/bin::/usr/java/packages/lib/amd64:/usr/lib64:/lib64:/lib:/usr/lib
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:java.io.tmpdir=/tmp
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:java.compiler=<NA>
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:os.name=Linux
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:os.arch=amd64
2018-05-07 11:37:13,973 [main] INFO  zookeeper.ZooKeeper - Client environment:os.version=3.13.0-85-generic
2018-05-07 11:37:13,974 [main] INFO  zookeeper.ZooKeeper - Client environment:user.name=copper
2018-05-07 11:37:13,974 [main] INFO  zookeeper.ZooKeeper - Client environment:user.home=/home/copper
2018-05-07 11:37:13,974 [main] INFO  zookeeper.ZooKeeper - Client environment:user.dir=/home/copper/Play/DatabaseSync
2018-05-07 11:37:13,975 [main] INFO  zookeeper.ZooKeeper - Initiating client connection, connectString=localhost:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@551bdc27
2018-05-07 11:37:14,356 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 11:37:14,438 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Socket connection established to localhost/127.0.0.1:2181, initiating session
2018-05-07 11:37:17,132 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Session establishment complete on server localhost/127.0.0.1:2181, sessionid = 0x16338a0d8170004, negotiated timeout = 6000
2018-05-07 11:37:17,138 [main-EventThread] INFO  zkclient.ZkClient - zookeeper state changed (SyncConnected)
2018-05-07 11:37:17,247 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], starting auto committer every 60000 ms
2018-05-07 11:37:17,268 [main] INFO  kafka.KafkaConsumer - Start connect to zk: localhost:2181, topic: dbserver1.inventory.customers, groupId: customer, nOThreads: 1
2018-05-07 11:37:17,330 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], begin registering consumer customer_prof.Copper-1525667833608-6ed28321 in ZK
2018-05-07 11:37:18,904 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], end registering consumer customer_prof.Copper-1525667833608-6ed28321 in ZK
2018-05-07 11:37:18,916 [customer_prof.Copper-1525667833608-6ed28321_watcher_executor] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], starting watcher executor thread for consumer customer_prof.Copper-1525667833608-6ed28321
2018-05-07 11:37:19,099 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], begin rebalancing consumer customer_prof.Copper-1525667833608-6ed28321 try #0
2018-05-07 11:37:19,842 [main] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] Stopping leader finder thread
2018-05-07 11:37:19,842 [main] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] Stopping all fetchers
2018-05-07 11:37:19,845 [main] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] All connections stopped
2018-05-07 11:37:19,847 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Cleared all relevant queues for this fetcher
2018-05-07 11:37:19,850 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Cleared the data chunks in all the consumer message iterators
2018-05-07 11:37:19,850 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Committing all offsets after clearing the fetcher queues
2018-05-07 11:37:19,853 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Releasing partition ownership
2018-05-07 11:37:19,902 [main] INFO  consumer.RangeAssignor - Consumer customer_prof.Copper-1525667833608-6ed28321 rebalancing the following partitions: ArrayBuffer(0) for topic dbserver1.inventory.customers with consumers: List(customer_prof.Copper-1525667833608-6ed28321-0)
2018-05-07 11:37:19,905 [main] INFO  consumer.RangeAssignor - customer_prof.Copper-1525667833608-6ed28321-0 attempting to claim partition 0
2018-05-07 11:37:20,204 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], customer_prof.Copper-1525667833608-6ed28321-0 successfully owned partition 0 for topic dbserver1.inventory.customers
2018-05-07 11:37:20,267 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Consumer customer_prof.Copper-1525667833608-6ed28321 selected partitions : dbserver1.inventory.customers:0: fetched offset = -1: consumed offset = -1
2018-05-07 11:37:20,270 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  consumer.ConsumerFetcherManager$LeaderFinderThread - [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread], Starting 
2018-05-07 11:37:20,272 [main] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], end rebalancing consumer customer_prof.Copper-1525667833608-6ed28321 try #0
2018-05-07 11:37:20,372 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  utils.VerifiableProperties - Verifying properties
2018-05-07 11:37:20,373 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  utils.VerifiableProperties - Property client.id is overridden to customer
2018-05-07 11:37:20,373 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  utils.VerifiableProperties - Property metadata.broker.list is overridden to 172.17.0.3:9092
2018-05-07 11:37:20,373 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  utils.VerifiableProperties - Property request.timeout.ms is overridden to 30000
2018-05-07 11:37:20,407 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  client.ClientUtils$ - Fetching metadata from broker id:1,host:172.17.0.3,port:9092 with correlation id 0 for 1 topic(s) Set(dbserver1.inventory.customers)
2018-05-07 11:37:20,467 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  producer.SyncProducer - Connected to 172.17.0.3:9092 for producing
2018-05-07 11:37:20,911 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  producer.SyncProducer - Disconnecting from 172.17.0.3:9092
2018-05-07 11:37:21,222 [ConsumerFetcherThread-customer_prof.Copper-1525667833608-6ed28321-0-1] INFO  consumer.ConsumerFetcherThread - [ConsumerFetcherThread-customer_prof.Copper-1525667833608-6ed28321-0-1], Starting 
2018-05-07 11:37:21,603 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] Added fetcher for partitions ArrayBuffer([[dbserver1.inventory.customers,0], initOffset -1 to broker id:1,host:172.17.0.3,port:9092] )
2018-05-07 11:44:17,306 [pool-2-thread-1] INFO  ConsumerTest - Receive message: {"schema":{"type":"struct","fields":[{"type":"struct","fields":[{"type":"int32","optional":false,"field":"id"},{"type":"string","optional":false,"field":"first_name"},{"type":"string","optional":false,"field":"last_name"},{"type":"string","optional":false,"field":"email"}],"optional":true,"name":"dbserver1.inventory.customers.Value","field":"before"},{"type":"struct","fields":[{"type":"int32","optional":false,"field":"id"},{"type":"string","optional":false,"field":"first_name"},{"type":"string","optional":false,"field":"last_name"},{"type":"string","optional":false,"field":"email"}],"optional":true,"name":"dbserver1.inventory.customers.Value","field":"after"},{"type":"struct","fields":[{"type":"string","optional":true,"field":"version"},{"type":"string","optional":false,"field":"name"},{"type":"int64","optional":false,"field":"server_id"},{"type":"int64","optional":false,"field":"ts_sec"},{"type":"string","optional":true,"field":"gtid"},{"type":"string","optional":false,"field":"file"},{"type":"int64","optional":false,"field":"pos"},{"type":"int32","optional":false,"field":"row"},{"type":"boolean","optional":true,"default":false,"field":"snapshot"},{"type":"int64","optional":true,"field":"thread"},{"type":"string","optional":true,"field":"db"},{"type":"string","optional":true,"field":"table"}],"optional":false,"name":"io.debezium.connector.mysql.Source","field":"source"},{"type":"string","optional":false,"field":"op"},{"type":"int64","optional":true,"field":"ts_ms"}],"optional":false,"name":"dbserver1.inventory.customers.Envelope"},"payload":{"before":{"id":1003,"first_name":"Edward","last_name":"Walker","email":"ed@walker.com"},"after":{"id":1003,"first_name":"Do","last_name":"Phuong","email":"dophuong@gmail.com"},"source":{"version":"0.7.5","name":"dbserver1","server_id":223344,"ts_sec":1525668252,"gtid":null,"file":"mysql-bin.000003","pos":716,"row":0,"snapshot":false,"thread":2,"db":"inventory","table":"customers"},"op":"u","ts_ms":1525668254657}}
2018-05-07 11:44:17,307 [pool-2-thread-1] INFO  kafka.KafkaConsumer - KafkaConsumer consumed the 1th message
2018-05-07 12:03:31,078 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Client session timed out, have not heard from server in 4003ms for sessionid 0x16338a0d8170004, closing socket connection and attempting reconnect
2018-05-07 12:03:31,316 [main-EventThread] INFO  zkclient.ZkClient - zookeeper state changed (Disconnected)
2018-05-07 12:03:31,506 [main-SendThread(hslave146:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server hslave146/192.168.3.146:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 12:03:34,508 [main-SendThread(hslave146:2181)] INFO  zookeeper.ClientCnxn - Client session timed out, have not heard from server in 3192ms for sessionid 0x16338a0d8170004, closing socket connection and attempting reconnect
2018-05-07 12:03:35,717 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 12:03:35,730 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Socket connection established to localhost/127.0.0.1:2181, initiating session
2018-05-07 12:03:35,860 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Session establishment complete on server localhost/127.0.0.1:2181, sessionid = 0x16338a0d8170004, negotiated timeout = 6000
2018-05-07 12:03:35,861 [main-EventThread] INFO  zkclient.ZkClient - zookeeper state changed (SyncConnected)
2018-05-07 13:08:39,495 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Client session timed out, have not heard from server in 4001ms for sessionid 0x16338a0d8170004, closing socket connection and attempting reconnect
2018-05-07 13:08:40,446 [main-EventThread] INFO  zkclient.ZkClient - zookeeper state changed (Disconnected)
2018-05-07 13:08:40,951 [main-SendThread(hslave146:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server hslave146/192.168.3.146:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 13:08:45,343 [main-SendThread(hslave146:2181)] INFO  zookeeper.ClientCnxn - Client session timed out, have not heard from server in 5010ms for sessionid 0x16338a0d8170004, closing socket connection and attempting reconnect
2018-05-07 13:08:47,181 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 13:08:47,181 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Socket connection established to localhost/127.0.0.1:2181, initiating session
2018-05-07 13:08:50,183 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Client session timed out, have not heard from server in 3002ms for sessionid 0x16338a0d8170004, closing socket connection and attempting reconnect
2018-05-07 13:08:56,584 [main-SendThread(hslave146:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server hslave146/192.168.3.146:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 13:08:59,587 [main-SendThread(hslave146:2181)] INFO  zookeeper.ClientCnxn - Client session timed out, have not heard from server in 3899ms for sessionid 0x16338a0d8170004, closing socket connection and attempting reconnect
2018-05-07 13:09:01,025 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 13:09:01,025 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Socket connection established to localhost/127.0.0.1:2181, initiating session
2018-05-07 13:09:01,320 [main-EventThread] INFO  zkclient.ZkClient - zookeeper state changed (Expired)
2018-05-07 13:09:01,320 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Unable to reconnect to ZooKeeper service, session 0x16338a0d8170004 has expired, closing socket connection
2018-05-07 13:09:01,321 [main-EventThread] INFO  zookeeper.ZooKeeper - Initiating client connection, connectString=localhost:2181 sessionTimeout=6000 watcher=org.I0Itec.zkclient.ZkClient@551bdc27
2018-05-07 13:09:04,093 [main-SendThread(hslave146:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server hslave146/192.168.3.146:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 13:09:04,094 [main-EventThread] INFO  zookeeper.ClientCnxn - EventThread shut down
2018-05-07 13:09:05,260 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], ZK expired; release old broker parition ownership; re-register consumer customer_prof.Copper-1525667833608-6ed28321
2018-05-07 13:09:05,315 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], begin registering consumer customer_prof.Copper-1525667833608-6ed28321 in ZK
2018-05-07 13:09:05,675 [main-SendThread(hslave146:2181)] INFO  zookeeper.ClientCnxn - Client session timed out, have not heard from server in 3052ms for sessionid 0x0, closing socket connection and attempting reconnect
2018-05-07 13:09:05,776 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Opening socket connection to server localhost/127.0.0.1:2181. Will not attempt to authenticate using SASL (unknown error)
2018-05-07 13:09:05,776 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Socket connection established to localhost/127.0.0.1:2181, initiating session
2018-05-07 13:09:06,105 [main-SendThread(localhost:2181)] INFO  zookeeper.ClientCnxn - Session establishment complete on server localhost/127.0.0.1:2181, sessionid = 0x16338a0d8170007, negotiated timeout = 6000
2018-05-07 13:09:06,105 [main-EventThread] INFO  zkclient.ZkClient - zookeeper state changed (SyncConnected)
2018-05-07 13:09:07,303 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], end registering consumer customer_prof.Copper-1525667833608-6ed28321 in ZK
2018-05-07 13:09:07,587 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], begin rebalancing consumer customer_prof.Copper-1525667833608-6ed28321 try #0
2018-05-07 13:09:08,491 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] Stopping leader finder thread
2018-05-07 13:09:08,958 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ConsumerFetcherManager$LeaderFinderThread - [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread], Shutting down
2018-05-07 13:09:09,142 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ConsumerFetcherManager$LeaderFinderThread - [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread], Shutdown completed
2018-05-07 13:09:09,142 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  consumer.ConsumerFetcherManager$LeaderFinderThread - [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread], Stopped 
2018-05-07 13:09:09,142 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] Stopping all fetchers
2018-05-07 13:09:09,142 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ConsumerFetcherThread - [ConsumerFetcherThread-customer_prof.Copper-1525667833608-6ed28321-0-1], Shutting down
2018-05-07 13:09:10,215 [ConsumerFetcherThread-customer_prof.Copper-1525667833608-6ed28321-0-1] INFO  consumer.SimpleConsumer - Reconnect due to socket error: java.nio.channels.ClosedByInterruptException
2018-05-07 13:09:10,216 [ConsumerFetcherThread-customer_prof.Copper-1525667833608-6ed28321-0-1] INFO  consumer.ConsumerFetcherThread - [ConsumerFetcherThread-customer_prof.Copper-1525667833608-6ed28321-0-1], Stopped 
2018-05-07 13:09:10,216 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ConsumerFetcherThread - [ConsumerFetcherThread-customer_prof.Copper-1525667833608-6ed28321-0-1], Shutdown completed
2018-05-07 13:09:10,232 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] All connections stopped
2018-05-07 13:09:10,232 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Cleared all relevant queues for this fetcher
2018-05-07 13:09:10,232 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Cleared the data chunks in all the consumer message iterators
2018-05-07 13:09:10,232 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Committing all offsets after clearing the fetcher queues
2018-05-07 13:09:10,232 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Releasing partition ownership
2018-05-07 13:09:11,954 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.RangeAssignor - Consumer customer_prof.Copper-1525667833608-6ed28321 rebalancing the following partitions: ArrayBuffer(0) for topic dbserver1.inventory.customers with consumers: List(customer_prof.Copper-1525667833608-6ed28321-0)
2018-05-07 13:09:11,988 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.RangeAssignor - customer_prof.Copper-1525667833608-6ed28321-0 attempting to claim partition 0
2018-05-07 13:09:12,253 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], customer_prof.Copper-1525667833608-6ed28321-0 successfully owned partition 0 for topic dbserver1.inventory.customers
2018-05-07 13:09:12,886 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Consumer customer_prof.Copper-1525667833608-6ed28321 selected partitions : dbserver1.inventory.customers:0: fetched offset = 6: consumed offset = 6
2018-05-07 13:09:12,896 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], end rebalancing consumer customer_prof.Copper-1525667833608-6ed28321 try #0
2018-05-07 13:09:12,897 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  consumer.ConsumerFetcherManager$LeaderFinderThread - [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread], Starting 
2018-05-07 13:09:13,171 [customer_prof.Copper-1525667833608-6ed28321_watcher_executor] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], begin rebalancing consumer customer_prof.Copper-1525667833608-6ed28321 try #0
2018-05-07 13:09:13,192 [customer_prof.Copper-1525667833608-6ed28321_watcher_executor] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] Stopping leader finder thread
2018-05-07 13:09:13,192 [customer_prof.Copper-1525667833608-6ed28321_watcher_executor] INFO  consumer.ConsumerFetcherManager$LeaderFinderThread - [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread], Shutting down
2018-05-07 13:09:13,245 [ZkClient-EventThread-14-localhost:2181] INFO  consumer.ZookeeperConsumerConnector - [customer_prof.Copper-1525667833608-6ed28321], Topic info for path /brokers/topics/dbserver1.inventory.customers changed to {"version":1,"partitions":{"0":[1]}}, triggering rebalance
2018-05-07 13:09:13,285 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  utils.VerifiableProperties - Verifying properties
2018-05-07 13:09:13,382 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  utils.VerifiableProperties - Property client.id is overridden to customer
2018-05-07 13:09:13,382 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  utils.VerifiableProperties - Property metadata.broker.list is overridden to 172.17.0.3:9092
2018-05-07 13:09:13,382 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  utils.VerifiableProperties - Property request.timeout.ms is overridden to 30000
2018-05-07 13:09:13,399 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  client.ClientUtils$ - Fetching metadata from broker id:1,host:172.17.0.3,port:9092 with correlation id 1 for 1 topic(s) Set(dbserver1.inventory.customers)
2018-05-07 13:09:13,399 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  producer.SyncProducer - Connected to 172.17.0.3:9092 for producing
2018-05-07 13:09:13,399 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  producer.SyncProducer - Disconnecting from 172.17.0.3:9092
2018-05-07 13:09:14,371 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] WARN  client.ClientUtils$ - Fetching topic metadata with correlation id 1 for topics [Set(dbserver1.inventory.customers)] from broker [id:1,host:172.17.0.3,port:9092] failed
java.nio.channels.ClosedChannelException
	at kafka.network.BlockingChannel.send(BlockingChannel.scala:100)
	at kafka.producer.SyncProducer.liftedTree1$1(SyncProducer.scala:73)
	at kafka.producer.SyncProducer.kafka$producer$SyncProducer$$doSend(SyncProducer.scala:72)
	at kafka.producer.SyncProducer.send(SyncProducer.scala:113)
	at kafka.client.ClientUtils$.fetchTopicMetadata(ClientUtils.scala:58)
	at kafka.client.ClientUtils$.fetchTopicMetadata(ClientUtils.scala:93)
	at kafka.consumer.ConsumerFetcherManager$LeaderFinderThread.doWork(ConsumerFetcherManager.scala:66)
	at kafka.utils.ShutdownableThread.run(ShutdownableThread.scala:60)
2018-05-07 13:09:15,372 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  producer.SyncProducer - Disconnecting from 172.17.0.3:9092
2018-05-07 13:09:15,373 [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread] INFO  consumer.ConsumerFetcherManager$LeaderFinderThread - [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread], Stopped 
2018-05-07 13:09:15,373 [customer_prof.Copper-1525667833608-6ed28321_watcher_executor] INFO  consumer.ConsumerFetcherManager$LeaderFinderThread - [customer_prof.Copper-1525667833608-6ed28321-leader-finder-thread], Shutdown completed
2018-05-07 13:09:15,373 [customer_prof.Copper-1525667833608-6ed28321_watcher_executor] INFO  consumer.ConsumerFetcherManager - [ConsumerFetcherManager-1525667837218] Stopping all fetchers
